tweet_id,text,sentiment,likes,retweets
1000000,RT awesome vibes great,Positive,23,45
1000001,RT worst product ever terrible angry #avoid #disappointed,Negative,65,13
1000002,via complete waste pathetic useless hate #avoid,Negative,8,2
1000003,RT @user2106 loving every moment delighted #amazing #winning,Positive,2,30
1000004,amazing experience cheerful grateful wonderful #success 😊😍🙌!!!,Positive,45,18
1000005,amazing experience beautiful incredible #amazing #grateful 😊😍🙌,Positive,1,52
1000006,RT @user1894 absolute garbage failed hate #frustrated #angry 😠😤💔,Negative,89,3
1000007,so satisfying great #winning,Positive,10,3
1000008,RT @user1691 great customer support beautiful perfect blessed #amazing,Positive,18,11
1000009,RT @user6431 some features work some don't #fyi,Neutral,28,5
1000010,RT really impressed wonderful 😊😍🙌,Positive,47,2
1000011,RT @user4587 totally recommend wonderful happy love,Positive,17,6
1000012,RT @user5289 got the package today 🤔😐,Neutral,30,23
1000013,RT totally useless horrible disappointed broken #broken 😠😤💔,Negative,11,10
1000014,RT outstanding performance incredible great awesome,Positive,44,0
1000015,@user3434 wasted my money useless terrible #frustrated #neveragain 😠😤💔,Negative,46,2
1000016,@user8711 what a disaster ruined #broken #neveragain,Negative,3,44
1000017,via incredible service cheerful wonderful thrilled #success #love,Positive,168,24
1000018,RT @user4325 pure joy beautiful superb #joy #happy,Positive,18,1
1000019,@user2376 totally worth it beautiful excellent #grateful,Positive,57,8
1000020,via so happy today cheerful perfect #success,Positive,6,10
1000021,via just received my order #thoughts 🤔😐,Neutral,1,36
1000022,RT @user1627 such a letdown awful frustrating useless,Negative,14,16
1000023,grateful for everything grateful brilliant #joy #love 😊😍🙌,Positive,18,11
1000024,@user9399 not sure about this one fair #fyi,Neutral,39,3
1000025,so angry right now broken #neveragain,Negative,174,22
1000026,via fantastic product perfect,Positive,140,33
1000027,extremely poor quality failed,Negative,45,38
1000028,loving every moment perfect joy #bestday,Positive,4,3
1000029,RT @user6410 will update later,Neutral,2,5
1000030,awesome vibes superb brilliant #blessed,Positive,24,4
1000031,CONSTANT CRASHES AWFUL BAD,Negative,88,6
1000032,RT @USER9591 HIGHLY RECOMMEND GREAT #GRATEFUL 😊😍🙌,Positive,16,11
1000033,RT @user7855 highly recommend incredible superb 😊😍🙌,Positive,7,24
1000034,via what a disaster disgusting,Negative,3,65
1000035,RT life is beautiful brilliant cheerful delighted #winning,Positive,73,3
1000036,via medium quality overall usual general #info,Neutral,0,25
1000037,RT @user8079 beyond expectations blessed superb #love #bestday,Positive,61,19
1000038,RT @user9810 awesome vibes superb #happy #winning,Positive,73,1
1000039,RT FIVE STARS THRILLED #POSITIVE 😊😍🙌,Positive,22,1
1000040,@USER1437 FANTASTIC PRODUCT DELIGHTED EXCELLENT #WINNING,Positive,99,14
1000041,RT @user3236 incredible service superb brilliant #happy,Positive,20,0
1000042,RT best day ever positive #winning #success 😊😍🙌,Positive,18,5
1000043,wasted my money bad #disappointed!!!,Negative,65,15
1000044,RT broken on arrival garbage #angry,Negative,109,9
1000045,RT SO HAPPY TODAY CHEERFUL AWESOME SUPERB #GRATEFUL #SUCCESS,Positive,6,18
1000046,RT so excited joy brilliant,Positive,71,12
1000047,@USER3736 CUSTOMER SERVICE IS AWFUL USELESS,Negative,73,10
1000048,RT @user2734 fantastic product brilliant amazing positive #bestday 😊😍🙌,Positive,36,8
1000049,via @user5562 fantastic product superb!!!,Positive,1,1
1000050,really frustrated angry trash,Negative,1,15
1000051,complete waste disappointed worst disgusting #angry,Negative,18,10
1000052,best day ever love beautiful #bestday,Positive,119,4
1000053,via @user8020 so angry right now dreadful!!!,Negative,26,21
1000054,via @user1621 do not recommend angry broken,Negative,12,1
1000055,couldn't be worse disappointed disgusting frustrating #fail,Negative,17,2
1000056,@user5068 so angry right now disappointed dreadful useless,Negative,132,24
1000057,VIA SEEMS FINE FOR NOW SUFFICIENT #JUSTGOT,Neutral,50,30
1000058,RT so happy today fantastic brilliant amazing,Positive,81,3
1000059,@user7947 so disappointed garbage angry,Negative,111,11
1000060,via couldn't be worse broken frustrating trash,Negative,82,33
1000061,VIA FIVE STARS FANTASTIC THRILLED,Positive,19,1
1000062,via feeling blessed positive #love #grateful,Positive,12,8
1000063,RT SO DISAPPOINTED DISGUSTING TRASH,Negative,85,29
